target,term,estimate,std_error,t_value,p_value
TSP_kg_ha,DistrictKandy,0.13280984890841038,1.5408650884989223,0.08619174378062579,0.9313170906850483
TSP_kg_ha,DistrictKegalle,-2.8672011216304645,1.2727104391327766,-2.252830678111018,0.02430856923618367
TSP_kg_ha,DistrictKilinochchi,-1.5272524364839437,1.1968908623619587,-1.2760164560618714,0.20200288866189595
TSP_kg_ha,DistrictKurunegala,-3.313949151419379,1.2556414936540403,-2.639247880997832,0.008332154691991457
TSP_kg_ha,DistrictMannar,-0.24874305475101424,1.2075743009661224,-0.20598571413121894,0.8368095958871384
TSP_kg_ha,DistrictMatale,-1.845507375746554,1.282610900006659,-1.4388676844528396,0.15024418308131487
TSP_kg_ha,DistrictMatara,-0.6809926328782645,1.5453179131148802,-0.4406812521221573,0.6594608667766195
TSP_kg_ha,DistrictMonaragala,-3.673344861491102,1.2690477567184488,-2.8945678695258676,0.003811553011663018
TSP_kg_ha,DistrictMullaitivu,-0.6804518914965989,1.2026589547307553,-0.56578956887153,0.5715596213052297
TSP_kg_ha,DistrictNuwara Eliya,-2.3217604028159076,1.5708374914232932,-1.4780398453007533,0.13945363500847044
TSP_kg_ha,DistrictPolonnaruwa,-1.2561691719145236,1.1932916465483827,-1.0526925044250626,0.2925275929314288
TSP_kg_ha,DistrictPuttalam,-1.7596490413208736,1.2075321532012886,-1.4572274838859305,0.14510994814918154
TSP_kg_ha,DistrictRatnapura,-2.135173035467322,1.5443821472738448,-1.3825419046939553,0.16686078110878746
TSP_kg_ha,DistrictTrincomalee,-1.9601979962067653,1.2193462685656613,-1.6075810840119935,0.1079836157897642
TSP_kg_ha,DistrictVavuniya,0.19995133426811215,1.1817175796842905,0.16920399400466857,0.8656423303574391
TSP_kg_ha,SeasonYala,0.10470117356362675,0.396563927070012,0.2640209217646317,0.7917735612887118
TSP_kg_ha,Soil_pH,0.08170788768842634,0.3318392130479759,0.2462273428686481,0.8055153201537736
TSP_kg_ha,Total_N_percent,-0.08668297904234093,3.934583957954625,-0.02203104063063447,0.982423983559382
TSP_kg_ha,Available_P_mgkg,-7.255322218495434,0.05618000099546464,-129.1442166240109,0
TSP_kg_ha,Available_K_mgkg,-0.008127566580494718,0.007173006241323796,-1.1330767473296879,0.2572307769525251
TSP_kg_ha,Organic_Carbon_percent,-0.38687080379730054,0.505424963084548,-0.7654366761710272,0.4440439802609857
TSP_kg_ha,Rainfall_30d_mm,-0.0014975869306391363,0.0028194086055461035,-0.5311705893545225,0.5953217435271605
TSP_kg_ha,Temperature_mean_C,-0.15318579785908357,0.13119232315499008,-1.1676430005596476,0.24300075913375377
MOP_kg_ha,(Intercept),130.99683134638897,3.764321205634711,34.79958913981712,2.8207766384500354e-240
MOP_kg_ha,DistrictAnuradhapura,-0.710575907373691,1.0048448767132243,-0.7071498535156332,0.4795029355222007
MOP_kg_ha,DistrictBadulla,-0.9989711640614387,1.0630707565653528,-0.9397033620687566,0.34741048086051507
MOP_kg_ha,DistrictBatticaloa,-0.16959996162209737,0.9937910465521677,-0.17065957900355713,0.8644976451813298
MOP_kg_ha,DistrictColombo,1.4236905074376607,1.269913577049517,1.1210924374439912,0.2622968398684726
MOP_kg_ha,DistrictGalle,-0.7371923510241356,1.303027974008021,-0.5657532806119154,0.5715842953285939
MOP_kg_ha,DistrictGampaha,0.6552730037984889,1.3162199248502877,0.497844616562101,0.6186132162931441
MOP_kg_ha,DistrictHambantota,0.33182672901835975,1.0101784230490596,0.32848328715712877,0.7425586246328715
MOP_kg_ha,DistrictJaffna,-0.5660510983397565,1.0024014624086346,-0.5646950045140723,0.5723039683865211
MOP_kg_ha,DistrictKalutara,1.5311316363292682,1.3132986821528527,1.1658670317245183,0.2437181207409646
MOP_kg_ha,DistrictKandy,0.9660565556503815,1.2708703537914914,0.760153506428304,0.44719500015850744
MOP_kg_ha,DistrictKegalle,-0.8233051420697124,1.0491509966484402,-0.7847346518278089,0.4326425289144732
MOP_kg_ha,DistrictKilinochchi,-0.6766195930181792,0.9917737855240273,-0.6822317779458863,0.49512076742153577
MOP_kg_ha,DistrictKurunegala,-0.36418787914106915,1.0729520830711872,-0.3394260423062214,0.7343015973008737
MOP_kg_ha,DistrictMannar,0.8411713255194023,1.0154225483428019,0.8283953580627272,0.4074821217518092
MOP_kg_ha,DistrictMatale,-0.7980277833613704,1.0806399612004847,-0.7384770247389705,0.46025573178847945
MOP_kg_ha,DistrictMatara,0.0714882825412767,1.2767112742586484,0.055994087294943026,0.9553485254018427
MOP_kg_ha,DistrictMonaragala,-0.3160019746004447,1.0496523052757412,-0.30105395187736167,0.763384589192911
MOP_kg_ha,DistrictMullaitivu,-1.2394298536458528,1.0011949944249723,-1.2379505096883836,0.2157865794626526
MOP_kg_ha,DistrictNuwara Eliya,0.5864740995809143,1.3178906866019695,0.44500967003042624,0.6563300549691775
MOP_kg_ha,DistrictPolonnaruwa,-0.2167710451377391,1.0004592436790674,-0.21667154010251322,0.8284722624055407
MOP_kg_ha,DistrictPuttalam,-0.21124809802634392,1.0071452896340691,-0.20974937797018114,0.8338709543766851
MOP_kg_ha,DistrictRatnapura,1.6072111184980153,1.285757993738011,1.250010597892891,0.21134818207202977
MOP_kg_ha,DistrictTrincomalee,0.09742981402659164,0.9911215553234116,0.09830258811675167,0.9216955596717475
MOP_kg_ha,DistrictVavuniya,1.017996863782254,0.9832976801534228,1.0352885848600977,0.3005790955432505
MOP_kg_ha,SeasonYala,-0.25439468347267946,0.32587203011908167,-0.7806582337849535,0.43503670025714436
MOP_kg_ha,Soil_pH,-0.3940406808096405,0.2710569647060712,-1.4537190779692024,0.14608053591371015
MOP_kg_ha,Total_N_percent,1.50827197771356,3.218463622537008,0.4686310471717059,0.639351717022594
MOP_kg_ha,Available_P_mgkg,0.05252934776975443,0.046104954387014105,1.1393427987979925,0.2546091897966271
MOP_kg_ha,Available_K_mgkg,-0.7885560445246352,0.005876834796108445,-134.18040014444605,0
MOP_kg_ha,Organic_Carbon_percent,-0.17122285743013446,0.4139295642518924,-0.413652157800303,0.6791447918262491
MOP_kg_ha,Rainfall_30d_mm,0.0014222066128377901,0.0022973656759861876,0.6190597464320873,0.5359023130943673
MOP_kg_ha,Temperature_mean_C,0.025623681979817806,0.10683754765610393,0.2398377961865718,0.810464828585107
