"case","n_miss","pct_miss"
5332,2,11.7647058823529
5341,2,11.7647058823529
5355,2,11.7647058823529
5357,2,11.7647058823529
5377,2,11.7647058823529
5384,2,11.7647058823529
5450,2,11.7647058823529
5466,2,11.7647058823529
5486,2,11.7647058823529
5516,2,11.7647058823529
5520,2,11.7647058823529
5539,2,11.7647058823529
5562,2,11.7647058823529
5566,2,11.7647058823529
5620,2,11.7647058823529
5624,2,11.7647058823529
5645,2,11.7647058823529
5648,2,11.7647058823529
5653,2,11.7647058823529
5662,2,11.7647058823529
5679,2,11.7647058823529
5696,2,11.7647058823529
5700,2,11.7647058823529
5717,2,11.7647058823529
5729,2,11.7647058823529
5732,2,11.7647058823529
5733,2,11.7647058823529
5745,2,11.7647058823529
5784,2,11.7647058823529
5799,2,11.7647058823529
5862,2,11.7647058823529
5868,2,11.7647058823529
5875,2,11.7647058823529
5928,2,11.7647058823529
5936,2,11.7647058823529
5944,2,11.7647058823529
5951,2,11.7647058823529
6002,2,11.7647058823529
6004,2,11.7647058823529
6011,2,11.7647058823529
6048,2,11.7647058823529
6133,2,11.7647058823529
6159,2,11.7647058823529
6196,2,11.7647058823529
6205,2,11.7647058823529
6214,2,11.7647058823529
6224,2,11.7647058823529
6230,2,11.7647058823529
6283,2,11.7647058823529
6303,2,11.7647058823529
6309,2,11.7647058823529
6344,2,11.7647058823529
6361,2,11.7647058823529
6403,2,11.7647058823529
6426,2,11.7647058823529
6428,2,11.7647058823529
6447,2,11.7647058823529
6542,2,11.7647058823529
6553,2,11.7647058823529
6563,2,11.7647058823529
6567,2,11.7647058823529
6588,2,11.7647058823529
6605,2,11.7647058823529
6619,2,11.7647058823529
6644,2,11.7647058823529
6667,2,11.7647058823529
6677,2,11.7647058823529
6697,2,11.7647058823529
6734,2,11.7647058823529
6813,2,11.7647058823529
6845,2,11.7647058823529
6864,2,11.7647058823529
6875,2,11.7647058823529
6886,2,11.7647058823529
6891,2,11.7647058823529
6911,2,11.7647058823529
6945,2,11.7647058823529
6953,2,11.7647058823529
6956,2,11.7647058823529
6959,2,11.7647058823529
6960,2,11.7647058823529
7006,2,11.7647058823529
7008,2,11.7647058823529
7013,2,11.7647058823529
7071,2,11.7647058823529
7102,2,11.7647058823529
7107,2,11.7647058823529
7173,2,11.7647058823529
7176,2,11.7647058823529
7177,2,11.7647058823529
7223,2,11.7647058823529
7241,2,11.7647058823529
7245,2,11.7647058823529
7247,2,11.7647058823529
7321,2,11.7647058823529
7341,2,11.7647058823529
7359,2,11.7647058823529
7379,2,11.7647058823529
7446,2,11.7647058823529
7462,2,11.7647058823529
7504,2,11.7647058823529
7534,2,11.7647058823529
7549,2,11.7647058823529
7556,2,11.7647058823529
7576,2,11.7647058823529
7583,2,11.7647058823529
7588,2,11.7647058823529
7589,2,11.7647058823529
7629,2,11.7647058823529
7640,2,11.7647058823529
7679,2,11.7647058823529
7685,2,11.7647058823529
7714,2,11.7647058823529
7768,2,11.7647058823529
7815,2,11.7647058823529
7839,2,11.7647058823529
7842,2,11.7647058823529
7865,2,11.7647058823529
7906,2,11.7647058823529
7941,2,11.7647058823529
7942,2,11.7647058823529
7947,2,11.7647058823529
7956,2,11.7647058823529
8016,2,11.7647058823529
8019,2,11.7647058823529
8025,2,11.7647058823529
8054,2,11.7647058823529
8062,2,11.7647058823529
8095,2,11.7647058823529
8122,2,11.7647058823529
8127,2,11.7647058823529
8136,2,11.7647058823529
8149,2,11.7647058823529
8151,2,11.7647058823529
8154,2,11.7647058823529
8167,2,11.7647058823529
8170,2,11.7647058823529
8184,2,11.7647058823529
8244,2,11.7647058823529
