target,model,term,coefficient
MOP_kg_ha,Ridge,Total_N_percent,0.7520648818918335
MOP_kg_ha,Ridge,Available_P_mgkg,0.06328200811612636
MOP_kg_ha,Ridge,Available_K_mgkg,-0.7114895703420142
MOP_kg_ha,Ridge,Organic_Carbon_percent,-0.24428711234838796
MOP_kg_ha,Ridge,Rainfall_30d_mm,0.001342488851060978
MOP_kg_ha,Ridge,Temperature_mean_C,0.048968362725619725
MOP_kg_ha,LASSO,(Intercept),130.22374971042927
MOP_kg_ha,LASSO,DistrictAnuradhapura,0
MOP_kg_ha,LASSO,DistrictBadulla,0
MOP_kg_ha,LASSO,DistrictBatticaloa,0
MOP_kg_ha,LASSO,DistrictColombo,0.25244723418719806
MOP_kg_ha,LASSO,DistrictGalle,-0.6470528953857941
MOP_kg_ha,LASSO,DistrictGampaha,0
MOP_kg_ha,LASSO,DistrictHambantota,0
MOP_kg_ha,LASSO,DistrictJaffna,0
MOP_kg_ha,LASSO,DistrictKalutara,0.28434351480999265
MOP_kg_ha,LASSO,DistrictKandy,0
MOP_kg_ha,LASSO,DistrictKegalle,0
MOP_kg_ha,LASSO,DistrictKilinochchi,0
MOP_kg_ha,LASSO,DistrictKurunegala,0
MOP_kg_ha,LASSO,DistrictMannar,0.3086998153048362
MOP_kg_ha,LASSO,DistrictMatale,0
MOP_kg_ha,LASSO,DistrictMatara,0
MOP_kg_ha,LASSO,DistrictMonaragala,0
MOP_kg_ha,LASSO,DistrictMullaitivu,-0.4895130367163373
MOP_kg_ha,LASSO,DistrictNuwara Eliya,0
MOP_kg_ha,LASSO,DistrictPolonnaruwa,0
MOP_kg_ha,LASSO,DistrictPuttalam,0
MOP_kg_ha,LASSO,DistrictRatnapura,0.4384052443933939
MOP_kg_ha,LASSO,DistrictTrincomalee,0
MOP_kg_ha,LASSO,DistrictVavuniya,0.5351414054525288
MOP_kg_ha,LASSO,Agro_ZoneIntermediate,-0.21003935294615778
MOP_kg_ha,LASSO,Agro_ZoneWet,0.3455534800200782
MOP_kg_ha,LASSO,SeasonYala,-0.0018908020448021006
MOP_kg_ha,LASSO,Soil_pH,-0.2115386658702684
MOP_kg_ha,LASSO,Total_N_percent,0
MOP_kg_ha,LASSO,Available_P_mgkg,0
MOP_kg_ha,LASSO,Available_K_mgkg,-0.780701522887865
MOP_kg_ha,LASSO,Organic_Carbon_percent,0
MOP_kg_ha,LASSO,Rainfall_30d_mm,0.0013244805275680093
MOP_kg_ha,LASSO,Temperature_mean_C,0
